net,length_um
_04263_,8.41µm
_02969_,8.4µm
_04318_,8.4µm
_04572_,8.4µm
_06143_,8.4µm
_06875_,8.4µm
_06967_,8.4µm
_07535_,8.4µm
_07872_,8.4µm
_08025_,8.4µm
_08103_,8.4µm
_08886_,8.4µm
_10252_,8.4µm
_10651_,8.4µm
_11026_,8.4µm
_11158_,8.4µm
_11396_,8.4µm
_11609_,8.4µm
_12298_,8.4µm
_12301_,8.4µm
_13430_,8.4µm
_13789_,8.4µm
_13800_,8.4µm
_15569_,8.4µm
net3022,8.4µm
_10996_,8.39µm
_14660_,8.38µm
chacha_unit.original\[1\]\[10\],8.38µm
net2863,8.38µm
net3410,8.38µm
net4134,8.38µm
_03337_,8.36µm
_04974_,8.36µm
_06550_,8.36µm
_06986_,8.36µm
_07348_,8.36µm
_07457_,8.36µm
_07649_,8.36µm
_07665_,8.36µm
_07705_,8.36µm
_08452_,8.36µm
_08705_,8.36µm
_10165_,8.36µm
_12125_,8.36µm
_15567_,8.36µm
chacha_unit.ciphertext\[132\],8.36µm
chacha_unit.ciphertext\[351\],8.36µm
chacha_unit.ciphertext\[387\],8.36µm
chacha_unit.original\[12\]\[12\],8.36µm
chacha_unit.original\[3\]\[20\],8.36µm
chacha_unit.original\[6\]\[4\],8.36µm
chacha_unit.plaintext\[249\],8.36µm
chacha_unit.plaintext\[430\],8.36µm
chacha_unit.plaintext\[438\],8.36µm
temp_key\[103\],8.36µm
net2798,8.36µm
net2809,8.36µm
net3085,8.36µm
net3865,8.36µm
net4235,8.36µm
chacha_unit.plaintext\[165\],8.35µm
_08190_,8.34µm
_12958_,8.34µm
chacha_unit.original\[14\]\[4\],8.34µm
chacha_unit.original\[9\]\[27\],8.34µm
chacha_unit.plaintext\[424\],8.34µm
temp_key\[119\],8.34µm
temp_key\[131\],8.34µm
temp_key\[208\],8.34µm
temp_key\[222\],8.34µm
temp_key\[236\],8.34µm
temp_key\[2\],8.34µm
net2459,8.34µm
net2873,8.34µm
_09043_,8.335µm
_01685_,8.325µm
_08379_,8.325µm
_00350_,8.32µm
_03314_,8.32µm
_04167_,8.32µm
_06286_,8.32µm
_06813_,8.32µm
_08655_,8.32µm
_08664_,8.32µm
_08972_,8.32µm
_08994_,8.32µm
_09039_,8.32µm
_09318_,8.32µm
_09790_,8.32µm
_09897_,8.32µm
_10076_,8.32µm
_10516_,8.32µm
_13092_,8.32µm
_13304_,8.32µm
_14442_,8.32µm
_14546_,8.32µm
_15215_,8.32µm
chacha_unit.ciphertext\[231\],8.32µm
chacha_unit.ciphertext\[24\],8.32µm
chacha_unit.ciphertext\[369\],8.32µm
chacha_unit.ciphertext\[384\],8.32µm
chacha_unit.ciphertext\[41\],8.32µm
chacha_unit.ciphertext\[511\],8.32µm
chacha_unit.ciphertext\[63\],8.32µm
chacha_unit.plaintext\[441\],8.32µm
temp_key\[207\],8.32µm
net115,8.32µm
_06217_,8.3µm
_06480_,8.3µm
_00305_,8.28µm
_01025_,8.28µm
_01339_,8.28µm
_01383_,8.28µm
_01400_,8.28µm
_01429_,8.28µm
_01540_,8.28µm
_02296_,8.28µm
_02473_,8.28µm
_04464_,8.28µm
_04868_,8.28µm
_07221_,8.28µm
_07622_,8.28µm
_08323_,8.28µm
_13308_,8.28µm
_13687_,8.28µm
_13799_,8.28µm
_00655_,8.26µm
_05898_,8.26µm
_06467_,8.26µm
_10426_,8.26µm
_11778_,8.26µm
_13639_,8.26µm
chacha_unit.counter\[1\],8.26µm
net2683,8.26µm
net3487,8.26µm
net3509,8.26µm
_01442_,8.24µm
_02197_,8.24µm
_03618_,8.24µm
_04499_,8.24µm
_05117_,8.24µm
_05481_,8.24µm
_06791_,8.24µm
_07280_,8.24µm
_07896_,8.24µm
_08300_,8.24µm
_09140_,8.24µm
_09490_,8.24µm
_10048_,8.24µm
_10227_,8.24µm
_11906_,8.24µm
_12543_,8.24µm
_12675_,8.24µm
_13654_,8.24µm
_14451_,8.24µm
chacha_unit.ciphertext\[338\],8.24µm
chacha_unit.ciphertext\[420\],8.24µm
chacha_unit.ciphertext\[424\],8.24µm
chacha_unit.ciphertext\[491\],8.24µm
chacha_unit.original\[12\]\[31\],8.24µm
chacha_unit.original\[13\]\[21\],8.24µm
chacha_unit.original\[1\]\[5\],8.24µm
chacha_unit.original\[3\]\[30\],8.24µm
chacha_unit.original\[5\]\[18\],8.24µm
chacha_unit.plaintext\[397\],8.24µm
chacha_unit.plaintext\[83\],8.24µm
temp_nonce\[82\],8.24µm
net2927,8.24µm
net2960,8.24µm
chacha_unit.original\[6\]\[12\],8.23µm
_00862_,8.22µm
_03159_,8.22µm
_14607_,8.22µm
_15449_,8.22µm
net4192,8.22µm
_03153_,8.2µm
_04225_,8.2µm
_06795_,8.2µm
_07290_,8.2µm
_07539_,8.2µm
_07646_,8.2µm
_07723_,8.2µm
_08066_,8.2µm
_08272_,8.2µm
_08365_,8.2µm
_08776_,8.2µm
_10144_,8.2µm
_10261_,8.2µm
_12312_,8.2µm
_12558_,8.2µm
_12807_,8.2µm
_13355_,8.2µm
chacha_unit.ciphertext\[164\],8.2µm
chacha_unit.ciphertext\[264\],8.2µm
chacha_unit.ciphertext\[371\],8.2µm
chacha_unit.ciphertext\[393\],8.2µm
chacha_unit.original\[12\]\[4\],8.2µm
chacha_unit.plaintext\[237\],8.2µm
chacha_unit.plaintext\[245\],8.2µm
chacha_unit.plaintext\[439\],8.2µm
chacha_unit.plaintext\[4\],8.2µm
chacha_unit.plaintext\[73\],8.2µm
net2848,8.2µm
_02534_,8.18µm
_08626_,8.18µm
_10057_,8.17µm
chacha_unit.original\[14\]\[19\],8.17µm
_00076_,8.16µm
_00130_,8.16µm
_00261_,8.16µm
_00704_,8.16µm
_00709_,8.16µm
_00834_,8.16µm
_00842_,8.16µm
_01067_,8.16µm
_01231_,8.16µm
_01551_,8.16µm
_03906_,8.16µm
_04382_,8.16µm
_06112_,8.16µm
_09293_,8.16µm
_10128_,8.16µm
_10697_,8.16µm
_13540_,8.16µm
_13923_,8.155µm
_10022_,8.15µm
_00653_,8.14µm
_01236_,8.14µm
_01539_,8.14µm
_02686_,8.14µm
_05120_,8.14µm
_05233_,8.14µm
_06810_,8.14µm
_07398_,8.14µm
_07420_,8.14µm
_08357_,8.14µm
_09807_,8.14µm
_10202_,8.14µm
_10581_,8.14µm
_10627_,8.14µm
_11087_,8.14µm
_11117_,8.14µm
_11415_,8.14µm
_14041_,8.14µm
temp_key\[10\],8.14µm
temp_key\[169\],8.14µm
net2840,8.14µm
net2944,8.14µm
net3232,8.14µm
net3845,8.14µm
net4063,8.14µm
net4129,8.14µm
_01196_,8.12µm
_01269_,8.12µm
_09166_,8.12µm
_09264_,8.12µm
_10550_,8.12µm
_11803_,8.12µm
_12316_,8.12µm
_12736_,8.12µm
_14799_,8.12µm
chacha_unit.ciphertext\[198\],8.12µm
chacha_unit.ciphertext\[510\],8.12µm
chacha_unit.original\[10\]\[5\],8.12µm
chacha_unit.original\[11\]\[24\],8.12µm
chacha_unit.original\[14\]\[27\],8.12µm
chacha_unit.original\[2\]\[18\],8.12µm
chacha_unit.original\[4\]\[26\],8.12µm
chacha_unit.original\[6\]\[5\],8.12µm
chacha_unit.original\[8\]\[13\],8.12µm
chacha_unit.plaintext\[218\],8.12µm
chacha_unit.plaintext\[312\],8.12µm
temp_key\[96\],8.12µm
net3207,8.12µm
_02236_,8.1µm
_02445_,8.1µm
_02458_,8.1µm
_05324_,8.1µm
_05401_,8.1µm
_06262_,8.1µm
_06266_,8.1µm
_06593_,8.1µm
_07130_,8.1µm
_07392_,8.1µm
_07715_,8.1µm
_07995_,8.1µm
_08225_,8.1µm
_08416_,8.1µm
_08769_,8.1µm
_09129_,8.1µm
_09228_,8.1µm
_09371_,8.1µm
_09666_,8.1µm
_09772_,8.1µm
_10121_,8.1µm
_10480_,8.1µm
_13328_,8.1µm
chacha_unit.plaintext\[47\],8.1µm
temp_key\[24\],8.1µm
trng_inst.shift_reg\[28\],8.1µm
net2391,8.1µm
_00483_,8.08µm
_01159_,8.08µm
_01470_,8.08µm
_01603_,8.08µm
_04239_,8.08µm
_05938_,8.08µm
_08055_,8.08µm
_08267_,8.08µm
_10018_,8.08µm
chacha_unit.original\[12\]\[23\],8.08µm
_02922_,8.06µm
_03511_,8.06µm
_03704_,8.06µm
_04045_,8.06µm
_04113_,8.06µm
_05791_,8.06µm
_05915_,8.06µm
_06290_,8.06µm
_07033_,8.06µm
_07120_,8.06µm
_07739_,8.06µm
_07815_,8.06µm
_08662_,8.06µm
_09190_,8.06µm
_09954_,8.06µm
_10630_,8.06µm
_10956_,8.06µm
_12107_,8.06µm
_13100_,8.06µm
_13379_,8.06µm
_13821_,8.06µm
_14637_,8.06µm
net4249,8.06µm
_14491_,8.05µm
_03578_,8.04µm
_05152_,8.04µm
_07326_,8.04µm
_09059_,8.04µm
_09629_,8.04µm
_10364_,8.04µm
_11659_,8.04µm
_12325_,8.04µm
_13991_,8.04µm
net2341,8.04µm
_02115_,8.025µm
_00607_,8.02µm
_00735_,8.02µm
_00935_,8.02µm
_01028_,8.02µm
_01346_,8.02µm
_02177_,8.02µm
_03120_,8.02µm
_04372_,8.02µm
_04403_,8.02µm
_04468_,8.02µm
_05126_,8.02µm
_06746_,8.02µm
_07083_,8.02µm
_07202_,8.02µm
_08983_,8.02µm
_09146_,8.02µm
_09425_,8.02µm
_09587_,8.02µm
_10347_,8.02µm
_10373_,8.02µm
_10746_,8.02µm
_12888_,8.02µm
_12975_,8.02µm
_14547_,8.02µm
_14954_,8.02µm
_15525_,8.02µm
chacha_unit.ciphertext\[168\],8.02µm
chacha_unit.ciphertext\[202\],8.02µm
chacha_unit.ciphertext\[325\],8.02µm
chacha_unit.ciphertext\[439\],8.02µm
chacha_unit.key\[148\],8.02µm
net2171,8.02µm
net2485,8.02µm
net2786,8.02µm
net2946,8.02µm
net2953,8.02µm
net3103,8.02µm
net3408,8.02µm
net3422,8.02µm
net4015,8.02µm
net4018,8.02µm
net4123,8.02µm
net4156,8.02µm
temp_key\[156\],8.005µm
_03487_,8µm
_07952_,8µm
_08316_,8µm
_09730_,8µm
_11520_,8µm
_14014_,8µm
_14620_,8µm
chacha_unit.original\[0\]\[26\],8µm
chacha_unit.original\[1\]\[14\],8µm
chacha_unit.original\[4\]\[27\],8µm
chacha_unit.original\[8\]\[25\],8µm
chacha_unit.plaintext\[433\],8µm
temp_key\[137\],8µm
temp_nonce\[21\],8µm
temp_nonce\[62\],8µm
net2669,8µm
_00325_,7.98µm
_00740_,7.98µm
_02261_,7.98µm
_03621_,7.98µm
_04109_,7.98µm
_05386_,7.98µm
_05787_,7.98µm
_06606_,7.98µm
_07286_,7.98µm
_07336_,7.98µm
_07778_,7.98µm
_07809_,7.98µm
_07850_,7.98µm
_07852_,7.98µm
_08154_,7.98µm
_08191_,7.98µm
_08696_,7.98µm
_08716_,7.98µm
_08924_,7.98µm
_09434_,7.98µm
_09512_,7.98µm
_09647_,7.98µm
_10186_,7.98µm
_10319_,7.98µm
_10677_,7.98µm
_11456_,7.98µm
_11614_,7.98µm
_11762_,7.98µm
_13399_,7.98µm
_13496_,7.98µm
_14304_,7.98µm
chacha_unit.original\[3\]\[12\],7.98µm
chacha_unit.plaintext\[157\],7.98µm
chacha_unit.plaintext\[503\],7.98µm
temp_nonce\[16\],7.98µm
net1808,7.98µm
net2174,7.98µm
net2298,7.98µm
net2374,7.98µm
net2631,7.98µm
net2780,7.98µm
net2833,7.98µm
_04771_,7.96µm
_08218_,7.96µm
_11662_,7.96µm
_12329_,7.96µm
chacha_unit.original\[8\]\[16\],7.96µm
chacha_unit.plaintext\[55\],7.96µm
temp_key\[92\],7.96µm
_13261_,7.95µm
_00446_,7.94µm
_04031_,7.94µm
_04452_,7.94µm
_04482_,7.94µm
_05345_,7.94µm
_06770_,7.94µm
_08526_,7.94µm
_08909_,7.94µm
_08940_,7.94µm
_08988_,7.94µm
_09081_,7.94µm
_09167_,7.94µm
_09242_,7.94µm
_09307_,7.94µm
_09540_,7.94µm
_10681_,7.94µm
_11122_,7.94µm
_11385_,7.94µm
_11633_,7.94µm
_11646_,7.94µm
_11779_,7.94µm
_13678_,7.94µm
_14849_,7.94µm
net1856,7.94µm
_10868_,7.92µm
chacha_unit.original\[6\]\[17\],7.92µm
temp_key\[26\],7.92µm
_10492_,7.91µm
_01578_,7.905µm
_00699_,7.9µm
_00917_,7.9µm
_00920_,7.9µm
_01031_,7.9µm
_03320_,7.9µm
_05007_,7.9µm
_06247_,7.9µm
_06594_,7.9µm
_07045_,7.9µm
_07167_,7.9µm
_07197_,7.9µm
_07378_,7.9µm
_07851_,7.9µm
_08083_,7.9µm
_08646_,7.9µm
_08899_,7.9µm
_08919_,7.9µm
_09385_,7.9µm
_10072_,7.9µm
_10431_,7.9µm
_11563_,7.9µm
_11797_,7.9µm
_12452_,7.9µm
_12506_,7.9µm
_13530_,7.9µm
_14555_,7.9µm
chacha_unit.ciphertext\[494\],7.9µm
chacha_unit.original\[7\]\[4\],7.9µm
chacha_unit.plaintext\[298\],7.9µm
trng_inst.ro2_sync2,7.9µm
net3356,7.9µm
net3474,7.9µm
net3759,7.9µm
_00648_,7.885µm
_03676_,7.88µm
_04133_,7.88µm
_04567_,7.88µm
_10737_,7.88µm
_11868_,7.88µm
_13838_,7.88µm
chacha_unit.plaintext\[296\],7.88µm
temp_key\[112\],7.88µm
temp_key\[238\],7.88µm
net3631,7.88µm
chacha_unit.original\[2\]\[12\],7.875µm
_07192_,7.865µm
_02164_,7.86µm
_02690_,7.86µm
_04595_,7.86µm
_04650_,7.86µm
_05356_,7.86µm
_07986_,7.86µm
_08467_,7.86µm
_08581_,7.86µm
_08684_,7.86µm
_08738_,7.86µm
_09717_,7.86µm
_09789_,7.86µm
_10253_,7.86µm
_11860_,7.86µm
_11889_,7.86µm
_12007_,7.86µm
_12899_,7.86µm
_13017_,7.86µm
_13823_,7.86µm
chacha_unit.ciphertext\[304\],7.86µm
chacha_unit.ciphertext\[485\],7.86µm
chacha_unit.ciphertext\[502\],7.86µm
chacha_unit.key\[114\],7.86µm
chacha_unit.key\[205\],7.86µm
chacha_unit.original\[2\]\[23\],7.86µm
chacha_unit.original\[6\]\[21\],7.86µm
chacha_unit.original\[6\]\[28\],7.86µm
chacha_unit.plaintext\[111\],7.86µm
chacha_unit.plaintext\[213\],7.86µm
temp_key\[62\],7.86µm
temp_nonce\[53\],7.86µm
net2715,7.86µm
net3458,7.86µm
_01973_,7.845µm
_03909_,7.83µm
_14605_,7.83µm
in_state_word[13],7.83µm
_01198_,7.82µm
_02129_,7.82µm
_02187_,7.82µm
_02813_,7.82µm
_03294_,7.82µm
_11937_,7.82µm
_12035_,7.82µm
_12608_,7.82µm
_12763_,7.82µm
_13517_,7.82µm
_15488_,7.82µm
chacha_unit.ciphertext\[346\],7.82µm
_00107_,7.8µm
_00737_,7.8µm
_00783_,7.8µm
_02274_,7.8µm
_03495_,7.8µm
_04500_,7.8µm
_11091_,7.8µm
net3016,7.8µm
net4209,7.8µm
_02964_,7.785µm
_01522_,7.78µm
_02935_,7.78µm
_03011_,7.78µm
_03917_,7.78µm
_06438_,7.78µm
_06646_,7.78µm
_07482_,7.78µm
_08777_,7.78µm
_09559_,7.78µm
_09905_,7.78µm
_10166_,7.78µm
_11136_,7.78µm
_11148_,7.78µm
_11546_,7.78µm
_11808_,7.78µm
_12475_,7.78µm
_12565_,7.78µm
_14061_,7.78µm
_14307_,7.78µm
_14622_,7.78µm
_14630_,7.78µm
chacha_unit.ciphertext\[12\],7.78µm
chacha_unit.ciphertext\[163\],7.78µm
chacha_unit.original\[11\]\[10\],7.78µm
chacha_unit.original\[13\]\[24\],7.78µm
chacha_unit.original\[6\]\[1\],7.78µm
chacha_unit.original\[7\]\[10\],7.78µm
chacha_unit.plaintext\[202\],7.78µm
chacha_unit.plaintext\[437\],7.78µm
temp_key\[228\],7.78µm
trng_data\[1\],7.78µm
net3532,7.78µm
net4089,7.78µm
_12284_,7.77µm
_00621_,7.76µm
_02335_,7.76µm
_06808_,7.76µm
_14238_,7.76µm
chacha_unit.counter\[31\],7.76µm
chacha_unit.plaintext\[385\],7.76µm
net2808,7.76µm
_03003_,7.74µm
_03506_,7.74µm
_05318_,7.74µm
_06179_,7.74µm
_07285_,7.74µm
_07315_,7.74µm
_07502_,7.74µm
_07516_,7.74µm
_07559_,7.74µm
_07621_,7.74µm
_07743_,7.74µm
_08788_,7.74µm
_08922_,7.74µm
_10060_,7.74µm
chacha_unit.ciphertext\[252\],7.74µm
chacha_unit.ciphertext\[327\],7.74µm
chacha_unit.original\[11\]\[16\],7.74µm
chacha_unit.plaintext\[277\],7.74µm
chacha_unit.plaintext\[483\],7.74µm
temp_key\[206\],7.74µm
temp_key\[229\],7.74µm
temp_nonce\[20\],7.74µm
_01744_,7.725µm
_01256_,7.72µm
_02329_,7.72µm
_05348_,7.72µm
_10556_,7.72µm
net4222,7.72µm
_12497_,7.715µm
_04244_,7.7µm
_09515_,7.7µm
_10518_,7.7µm
net3452,7.7µm
_00302_,7.68µm
_00493_,7.68µm
_01535_,7.68µm
_03792_,7.68µm
_05008_,7.68µm
_05364_,7.68µm
_06047_,7.68µm
_07853_,7.68µm
_08074_,7.68µm
_08315_,7.68µm
_08539_,7.68µm
_08586_,7.68µm
_08745_,7.68µm
_09652_,7.68µm
_09871_,7.68µm
_09960_,7.68µm
_10945_,7.68µm
_11602_,7.68µm
_14390_,7.68µm
chacha_unit.original\[8\]\[15\],7.68µm
chacha_unit.plaintext\[425\],7.68µm
temp_key\[168\],7.68µm
temp_key\[3\],7.68µm
net2289,7.68µm
net2395,7.68µm
net2795,7.68µm
net2799,7.68µm
net3359,7.68µm
_01586_,7.665µm
_01627_,7.665µm
_01021_,7.66µm
_04179_,7.66µm
_04964_,7.66µm
_05399_,7.66µm
_06349_,7.66µm
_07666_,7.66µm
_08212_,7.66µm
_08555_,7.66µm
_10424_,7.66µm
_11058_,7.66µm
_12546_,7.66µm
_13269_,7.66µm
_13773_,7.66µm
_15252_,7.66µm
_15591_,7.66µm
chacha_unit.original\[10\]\[18\],7.66µm
chacha_unit.original\[10\]\[23\],7.66µm
chacha_unit.original\[15\]\[11\],7.66µm
chacha_unit.original\[1\]\[0\],7.66µm
chacha_unit.original\[2\]\[6\],7.66µm
chacha_unit.original\[3\]\[4\],7.66µm
chacha_unit.original\[9\]\[22\],7.66µm
chacha_unit.plaintext\[147\],7.66µm
chacha_unit.plaintext\[315\],7.66µm
chacha_unit.plaintext\[60\],7.66µm
net213,7.66µm
net4009,7.66µm
_08022_,7.655µm
_09679_,7.65µm
_01281_,7.64µm
_03107_,7.64µm
_03635_,7.64µm
_06028_,7.64µm
_07262_,7.64µm
_07312_,7.64µm
_07431_,7.64µm
_07578_,7.64µm
_07580_,7.64µm
_08153_,7.64µm
_08432_,7.64µm
_08636_,7.64µm
_08778_,7.64µm
_08809_,7.64µm
_08855_,7.64µm
_09291_,7.64µm
_09335_,7.64µm
_09612_,7.64µm
_09651_,7.64µm
_09779_,7.64µm
_09844_,7.64µm
_11223_,7.64µm
_11391_,7.64µm
_11541_,7.64µm
_11690_,7.64µm
_13810_,7.64µm
_14201_,7.64µm
_14221_,7.64µm
_14598_,7.64µm
chacha_unit.ciphertext\[74\],7.64µm
chacha_unit.key\[107\],7.64µm
chacha_unit.key\[139\],7.64µm
temp_key\[8\],7.64µm
temp_nonce\[31\],7.64µm
net93,7.64µm
net2423,7.64µm
net2589,7.64µm
net2721,7.64µm
net2733,7.64µm
net2781,7.64µm
net3646,7.64µm
_03208_,7.62µm
_07893_,7.62µm
_08023_,7.62µm
_10545_,7.62µm
_11212_,7.62µm
_15442_,7.62µm
chacha_unit.original\[4\]\[8\],7.62µm
chacha_unit.plaintext\[458\],7.62µm
_08367_,7.61µm
_02089_,7.605µm
_01352_,7.6µm
_04563_,7.6µm
_04719_,7.6µm
_05314_,7.6µm
_05854_,7.6µm
_06023_,7.6µm
_06105_,7.6µm
_07382_,7.6µm
_07843_,7.6µm
_09111_,7.6µm
_10196_,7.6µm
_10776_,7.6µm
_11636_,7.6µm
_11676_,7.6µm
_12406_,7.6µm
_12469_,7.6µm
_12561_,7.6µm
_15368_,7.6µm
_15409_,7.6µm
net34,7.6µm
_01663_,7.595µm
_05121_,7.58µm
_06951_,7.58µm
_07713_,7.58µm
_13335_,7.58µm
_15081_,7.58µm
chacha_unit.original\[5\]\[22\],7.58µm
chacha_unit.plaintext\[475\],7.58µm
out_key_word[25],7.58µm
net2793,7.58µm
chacha_unit.original\[2\]\[15\],7.57µm
_00646_,7.56µm
_03406_,7.56µm
_03416_,7.56µm
_03477_,7.56µm
_03689_,7.56µm
_04813_,7.56µm
_05105_,7.56µm
_06249_,7.56µm
_06591_,7.56µm
_06892_,7.56µm
_07210_,7.56µm
_07998_,7.56µm
_08004_,7.56µm
_08024_,7.56µm
_08455_,7.56µm
_08759_,7.56µm
_08852_,7.56µm
_09343_,7.56µm
_09487_,7.56µm
_09584_,7.56µm
_09720_,7.56µm
_09949_,7.56µm
_10411_,7.56µm
_11479_,7.56µm
_11534_,7.56µm
_13177_,7.56µm
_13707_,7.56µm
_13721_,7.56µm
_13941_,7.56µm
_13977_,7.56µm
_14665_,7.56µm
_14701_,7.56µm
_15320_,7.56µm
_15623_,7.56µm
chacha_unit.original\[0\]\[9\],7.56µm
net2241,7.56µm
net2431,7.56µm
net2740,7.56µm
net2790,7.56µm
net2883,7.56µm
net2901,7.56µm
net2952,7.56µm
net3033,7.56µm
net3132,7.56µm
net3321,7.56µm
net3493,7.56µm
net3541,7.56µm
net3705,7.56µm
net3755,7.56µm
net4206,7.56µm
net4223,7.56µm
_04411_,7.545µm
_08176_,7.545µm
_14433_,7.545µm
_04351_,7.54µm
_06856_,7.54µm
_09510_,7.54µm
chacha_unit.plaintext\[456\],7.54µm
temp_key\[215\],7.54µm
temp_nonce\[25\],7.54µm
temp_nonce\[94\],7.54µm
net2878,7.54µm
_00839_,7.525µm
_01057_,7.52µm
_01162_,7.52µm
_05680_,7.52µm
_05712_,7.52µm
_05850_,7.52µm
_06019_,7.52µm
_06408_,7.52µm
_07150_,7.52µm
_07169_,7.52µm
_07403_,7.52µm
_07444_,7.52µm
_07469_,7.52µm
_07488_,7.52µm
_07620_,7.52µm
_07623_,7.52µm
_07895_,7.52µm
_08195_,7.52µm
_08428_,7.52µm
_08604_,7.52µm
_08962_,7.52µm
_09035_,7.52µm
_09497_,7.52µm
_09703_,7.52µm
_09824_,7.52µm
_10090_,7.52µm
_10184_,7.52µm
_10484_,7.52µm
_10652_,7.52µm
_10920_,7.52µm
_11412_,7.52µm
_11422_,7.52µm
_11907_,7.52µm
_12449_,7.52µm
_13200_,7.52µm
_13281_,7.52µm
_13735_,7.52µm
_13936_,7.52µm
_14285_,7.52µm
_14394_,7.52µm
chacha_unit.original\[15\]\[1\],7.52µm
chacha_unit.plaintext\[176\],7.52µm
net2234,7.52µm
net2847,7.52µm
net3485,7.52µm
net3564,7.52µm
net4048,7.52µm
_01882_,7.505µm
_01978_,7.505µm
_02037_,7.505µm
_04215_,7.5µm
_05825_,7.5µm
_06132_,7.5µm
_08577_,7.5µm
_09004_,7.5µm
_11599_,7.5µm
_11848_,7.5µm
_13879_,7.5µm
chacha_unit.original\[11\]\[21\],7.5µm
temp_key\[203\],7.5µm
temp_nonce\[27\],7.5µm
_00985_,7.48µm
_01588_,7.48µm
_03598_,7.48µm
_04268_,7.48µm
_04779_,7.48µm
_04796_,7.48µm
_07456_,7.48µm
_07608_,7.48µm
_08203_,7.48µm
_08951_,7.48µm
_09850_,7.48µm
_10368_,7.48µm
_13014_,7.48µm
_13337_,7.48µm
_13867_,7.48µm
_13993_,7.48µm
_15196_,7.48µm
_15464_,7.48µm
net1834,7.48µm
net2147,7.48µm
chunk[10],7.47µm
_04159_,7.46µm
_05473_,7.46µm
_08627_,7.46µm
_10040_,7.46µm
chacha_unit.original\[3\]\[10\],7.46µm
chacha_unit.original\[8\]\[19\],7.46µm
net2957,7.46µm
net3262,7.46µm
net3927,7.46µm
net4236,7.46µm
net2625,7.45µm
_00306_,7.44µm
_00856_,7.44µm
_03476_,7.44µm
_04529_,7.44µm
_05286_,7.44µm
_06000_,7.44µm
_07406_,7.44µm
_07594_,7.44µm
_07655_,7.44µm
_07691_,7.44µm
_07731_,7.44µm
_07946_,7.44µm
_08545_,7.44µm
_09249_,7.44µm
_09383_,7.44µm
_11181_,7.44µm
_11211_,7.44µm
_13253_,7.44µm
_15323_,7.44µm
chacha_unit.ciphertext\[173\],7.44µm
chacha_unit.ciphertext\[207\],7.44µm
chacha_unit.ciphertext\[386\],7.44µm
chacha_unit.ciphertext\[67\],7.44µm
chacha_unit.nonce\[36\],7.44µm
chacha_unit.original\[2\]\[21\],7.44µm
chacha_unit.original\[6\]\[14\],7.44µm
chacha_unit.plaintext\[285\],7.44µm
temp_key\[161\],7.44µm
net2043,7.44µm
net2134,7.44µm
net2633,7.44µm
net2652,7.44µm
net2690,7.44µm
net4177,7.44µm
_07959_,7.43µm
_03857_,7.42µm
_05986_,7.42µm
_06935_,7.42µm
_09398_,7.42µm
_14723_,7.42µm
temp_key\[194\],7.42µm
temp_key\[239\],7.42µm
temp_key\[253\],7.42µm
temp_nonce\[15\],7.42µm
temp_nonce\[42\],7.42µm
net3192,7.42µm
net3374,7.42µm
net4128,7.42µm
_00236_,7.4µm
_00273_,7.4µm
_00865_,7.4µm
_02354_,7.4µm
_02629_,7.4µm
_02637_,7.4µm
_03291_,7.4µm
_05138_,7.4µm
_06589_,7.4µm
_07016_,7.4µm
_07127_,7.4µm
_07209_,7.4µm
_08141_,7.4µm
_08444_,7.4µm
_09334_,7.4µm
_09628_,7.4µm
_09950_,7.4µm
_10508_,7.4µm
_12833_,7.4µm
_13178_,7.4µm
_15152_,7.4µm
_15254_,7.4µm
chacha_unit.original\[8\]\[31\],7.4µm
net1931,7.4µm
net4175,7.4µm
_01965_,7.385µm
_01986_,7.385µm
_01997_,7.385µm
_10077_,7.38µm
_11491_,7.38µm
net1987,7.38µm
net2954,7.38µm
_08839_,7.37µm
_01016_,7.365µm
_03702_,7.36µm
_14786_,7.36µm
net2680,7.36µm
net2730,7.36µm
_10503_,7.35µm
chunk[4],7.35µm
_00680_,7.34µm
_00708_,7.34µm
_00854_,7.34µm
_01534_,7.34µm
_02146_,7.34µm
_02208_,7.34µm
_02733_,7.34µm
_06411_,7.34µm
_09252_,7.34µm
_11618_,7.34µm
_11713_,7.34µm
net2219,7.34µm
net2619,7.34µm
net4197,7.34µm
chacha_unit.ciphertext\[106\],7.325µm
_00123_,7.32µm
_03941_,7.32µm
_04496_,7.32µm
_06050_,7.32µm
_07255_,7.32µm
_07273_,7.32µm
_07544_,7.32µm
_07679_,7.32µm
_08043_,7.32µm
_08552_,7.32µm
_09710_,7.32µm
_10141_,7.32µm
_14353_,7.32µm
_14956_,7.32µm
_15050_,7.32µm
_15417_,7.32µm
_15503_,7.32µm
chacha_unit.ciphertext\[181\],7.32µm
chacha_unit.ciphertext\[499\],7.32µm
chacha_unit.key\[238\],7.32µm
chacha_unit.original\[0\]\[21\],7.32µm
chacha_unit.original\[15\]\[28\],7.32µm
chacha_unit.original\[2\]\[29\],7.32µm
chacha_unit.original\[6\]\[22\],7.32µm
chacha_unit.original\[8\]\[14\],7.32µm
chacha_unit.original\[9\]\[26\],7.32µm
chacha_unit.plaintext\[168\],7.32µm
chacha_unit.plaintext\[417\],7.32µm
chacha_unit.plaintext\[91\],7.32µm
temp_key\[81\],7.32µm
trng_data\[15\],7.32µm
trng_data\[3\],7.32µm
trng_data\[4\],7.32µm
